EncuestaHogar_id,DEPARTAMENTO,Estrato,IdTamanoHogar,TamanoHogar,Personas,PersonasMenor4,PersonasDesde4,Autos,Motos,Otros,Vehiculos,EspaciosEstacionamiento,AutoECH,MotoECH,ZonaIMM,Ponderacion
7920,1,2,2,2 Personas,2,0,2,0,0,0,0,1,1,2,Oeste,94.8908530979
7921,1,1,4,5 o mas Personas,5,1,4,0,0,0,0,1,2,2,Oeste,245.8763931898
7933,3,5,2,2 Personas,2,0,2,0,0,0,0,0,2,2,,3755.8023866907
7935,1,2,1,1 Persona,1,0,1,0,0,0,0,1,1,2,Oeste,135.8835451324
7936,1,1,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Oeste,149.6931022943
7937,1,3,1,1 Persona,1,0,1,0,1,0,1,0,1,2,Oeste,941.2435181878
7938,1,1,3,3 o 4 Personas,4,1,3,0,1,0,1,1,2,2,Este,97.7698708135
7940,3,5,3,3 o 4 Personas,3,0,3,0,0,0,0,0,2,1,,282.9827366836
7941,1,1,1,1 Persona,1,0,1,0,1,0,1,0,2,2,Oeste,408.9689267116
7943,1,1,4,5 o mas Personas,6,1,5,0,0,0,0,1,2,1,Este,116.2979471468
7945,1,2,2,2 Personas,2,0,2,1,0,0,1,1,1,1,Oeste,94.8908530979
7946,1,1,4,5 o mas Personas,5,0,5,0,0,1,1,0,1,2,Este,173.5598069575
7947,1,2,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Este,101.2169099711
7948,1,1,2,2 Personas,2,0,2,1,0,0,1,1,2,1,Este,190.2349841656
7952,1,1,4,5 o mas Personas,6,2,4,0,0,0,0,2,2,2,Este,286.2718698998
7953,1,2,3,3 o 4 Personas,4,1,3,1,1,0,2,0,1,2,Este,101.4340327854
8022,1,2,2,2 Personas,2,0,2,0,1,0,1,0,2,1,Oeste,220.146779187
8023,1,1,2,2 Personas,2,0,2,0,1,0,1,0,2,2,Oeste,53.0163070625
8030,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,388.9289254399
8031,1,3,4,5 o mas Personas,6,0,6,0,0,0,0,0,2,2,Centro,3484.658913312
8046,1,1,4,5 o mas Personas,5,0,5,2,0,0,2,2,1,2,Este,433.8995173938
8047,1,2,4,5 o mas Personas,5,0,5,0,1,0,1,5,2,1,Este,318.7607991466
8073,1,1,3,3 o 4 Personas,4,1,3,0,0,0,0,0,2,2,Este,456.2593971298
8074,3,5,4,5 o mas Personas,5,0,5,0,0,0,0,0,2,2,,908.4361184282
8093,1,2,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,389.6851033886
8096,1,4,1,1 Persona,1,0,1,0,0,0,0,1,2,2,Centro,600.3458004009
8097,1,2,3,3 o 4 Personas,4,0,4,0,2,0,2,0,2,2,Oeste,256.9662163897
8048,1,3,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,422.2586700437
8049,1,2,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,1117.2647044218
8050,1,2,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,226.4725752206
8051,1,2,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,1093.1426276874
8052,1,2,3,3 o 4 Personas,3,0,3,1,0,0,1,0,1,2,Centro,987.990243597
8053,1,2,3,3 o 4 Personas,4,0,4,1,1,0,2,1,1,1,Este,324.5889049133
8057,1,2,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,1123.5077006787
8058,1,3,2,2 Personas,2,0,2,0,1,0,1,0,2,1,Centro,516.9028547086
8059,1,4,1,1 Persona,1,0,1,1,0,0,1,0,2,2,Centro,254.9616732567
8060,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,1118.8366348271
8061,1,1,4,5 o mas Personas,5,0,5,3,1,0,4,4,1,1,Este,1137.7809567214
8062,1,2,3,3 o 4 Personas,4,0,4,0,0,0,0,0,2,2,Centro,263.7284852421
8063,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,408.4641682702
8064,1,2,3,3 o 4 Personas,4,0,4,0,0,0,0,0,2,2,Centro,1460.65007211
